Date,Open,High,Low,Close,Adj Close,Volume
2022-10-06,491.799988,491.799988,477.399994,480.799988,480.799988,2403974
2022-10-07,472.100006,477.700012,465.600006,466.799988,466.799988,5336264
2022-10-10,462.500000,471.299988,460.000000,467.000000,467.000000,4195568
2022-10-11,464.399994,466.000000,451.000000,453.799988,453.799988,4975879
2022-10-12,452.399994,457.899994,442.500000,445.399994,445.399994,2482875
2022-10-13,443.500000,462.500000,437.799988,456.799988,456.799988,8488900
2022-10-14,463.600006,478.799988,460.799988,466.600006,466.600006,5086757
2022-10-17,458.000000,482.600006,455.700012,477.200012,477.200012,4103408
2022-10-18,481.500000,486.100006,474.299988,480.500000,480.500000,7015220
2022-10-19,481.799988,483.700012,458.700012,460.200012,460.200012,2056300
2022-10-20,457.500000,479.399994,453.700012,473.100006,473.100006,3803783
2022-10-21,464.600006,470.700012,454.399994,459.100006,459.100006,3834763
2022-10-24,466.600006,478.600006,464.799988,471.799988,471.799988,2720013
2022-10-25,472.100006,491.869995,468.899994,489.399994,489.399994,2279721
2022-10-26,487.500000,510.600006,484.799988,508.799988,508.799988,5709693
2022-10-27,502.799988,508.000000,491.799988,497.399994,497.399994,2947721
2022-10-28,490.399994,494.700012,484.200012,492.200012,492.200012,1701251
2022-10-31,493.899994,501.399994,491.239990,491.799988,491.799988,2655162
2022-11-01,497.399994,508.899994,496.600006,498.799988,498.799988,3291594
2022-11-02,498.299988,505.799988,494.500000,495.799988,495.799988,2199806
2022-11-03,490.000000,494.100006,483.899994,493.100006,493.100006,7354108
2022-11-04,495.600006,508.200012,490.299988,507.799988,507.799988,2547451
2022-11-07,506.799988,509.000000,501.600006,503.399994,503.399994,2980720
2022-11-08,502.799988,514.400024,499.500000,513.400024,513.400024,1734396
2022-11-09,511.000000,520.400024,509.441986,520.400024,520.400024,2343849
2022-11-10,515.200012,548.799988,503.200012,548.799988,548.799988,4570745
2022-11-11,549.400024,564.000000,547.400024,559.799988,559.799988,3569547
2022-11-14,562.400024,563.400024,550.799988,557.400024,557.400024,2133803
2022-11-15,561.400024,572.200012,550.000000,566.000000,566.000000,3864667
2022-11-16,564.599976,565.799988,535.799988,540.599976,540.599976,2663545
2022-11-17,544.400024,547.000000,534.599976,539.400024,539.400024,2997128
2022-11-18,541.799988,550.200012,535.000000,545.200012,545.200012,1835241
2022-11-21,542.599976,547.000000,534.599976,544.799988,544.799988,2122514
2022-11-22,541.599976,549.799988,538.400024,544.799988,544.799988,2325636
2022-11-23,548.599976,562.400024,545.000000,558.599976,558.599976,3522561
2022-11-24,558.200012,569.599976,555.599976,569.599976,569.599976,2325301
2022-11-25,566.200012,567.799988,558.599976,561.200012,561.200012,2645550
2022-11-28,560.000000,565.200012,552.705994,559.000000,559.000000,1986087
2022-11-29,556.000000,563.017029,551.591980,551.599976,551.599976,1715918
2022-11-30,557.799988,559.400024,551.400024,553.400024,553.400024,3740575
2022-12-01,565.400024,570.200012,559.400024,562.000000,562.000000,1968587
2022-12-02,563.200012,570.599976,549.400024,563.200012,563.200012,2519915
2022-12-05,565.400024,569.799988,560.744019,563.400024,563.400024,1626099
2022-12-06,564.799988,566.200012,557.000000,557.400024,557.400024,2182709
2022-12-07,554.599976,559.000000,552.799988,555.000000,555.000000,1855886
2022-12-08,551.000000,555.856018,542.039978,548.000000,548.000000,1333501
2022-12-09,552.799988,554.400024,546.200012,549.599976,549.599976,1482434
2022-12-12,549.599976,553.799988,543.200012,549.799988,549.799988,1377628
2022-12-13,553.200012,572.599976,545.599976,559.799988,559.799988,2817895
2022-12-14,559.200012,562.599976,552.599976,559.799988,559.799988,1633306
2022-12-15,554.599976,555.200012,543.400024,543.599976,543.599976,1796507
2022-12-16,540.799988,541.799988,525.000000,531.200012,531.200012,5346186
2022-12-19,532.599976,533.599976,516.599976,516.599976,516.599976,2284883
2022-12-20,506.799988,518.200012,506.799988,515.000000,515.000000,1894867
2022-12-21,518.400024,526.799988,515.799988,526.799988,526.799988,1859195
2022-12-22,527.400024,529.400024,514.400024,516.799988,516.799988,1503185
2022-12-23,517.799988,517.799988,512.400024,516.599976,516.599976,673811
2022-12-28,518.200012,520.599976,512.799988,517.799988,517.799988,1223063
2022-12-29,521.400024,524.400024,512.799988,524.400024,524.400024,1575408
2022-12-30,523.000000,524.799988,511.399994,511.399994,511.399994,711707
2023-01-03,518.799988,528.599976,513.400024,522.799988,522.799988,2133666
2023-01-04,525.400024,531.200012,522.799988,526.599976,526.599976,1380339
2023-01-05,527.799988,539.200012,525.000000,533.400024,533.400024,1840278
2023-01-06,530.599976,538.599976,528.767029,538.400024,538.400024,1902468
2023-01-09,542.200012,549.400024,539.400024,545.200012,545.200012,3030577
2023-01-10,544.000000,555.599976,539.400024,553.200012,553.200012,2324789
2023-01-11,558.200012,562.400024,547.200012,548.799988,548.799988,5900229
2023-01-12,550.000000,551.599976,538.599976,545.799988,545.799988,3691327
2023-01-13,548.200012,551.599976,544.400024,550.599976,550.599976,3194862
2023-01-16,552.000000,553.400024,547.400024,553.400024,553.400024,2631344
2023-01-17,550.000000,555.400024,546.799988,553.000000,553.000000,6367777
2023-01-18,556.200012,562.400024,552.200012,555.000000,555.000000,1950099
2023-01-19,554.000000,564.400024,552.599976,559.799988,559.799988,3643428
2023-01-20,561.400024,575.200012,561.200012,572.799988,572.799988,2064381
2023-01-23,572.400024,578.599976,572.400024,578.000000,578.000000,1245535
2023-01-24,579.799988,583.760986,578.000000,578.799988,578.799988,5701796
2023-01-25,578.000000,579.200012,569.000000,574.599976,574.599976,1237936
2023-01-26,579.799988,584.799988,577.599976,579.599976,579.599976,3437037
2023-01-27,580.200012,587.599976,575.000000,587.599976,587.599976,2612753
2023-01-30,581.000000,589.200012,576.799988,589.200012,589.200012,2340487
2023-01-31,587.799988,589.400024,580.599976,586.799988,586.799988,2850675
2023-02-01,587.400024,594.200012,581.000000,581.000000,581.000000,2788520
2023-02-02,589.000000,614.799988,586.200012,612.799988,612.799988,2118273
2023-02-03,609.400024,615.400024,600.599976,615.400024,615.400024,2067699
2023-02-06,605.799988,610.599976,599.400024,601.200012,601.200012,2044393
2023-02-07,600.200012,604.400024,588.200012,589.799988,589.799988,2220197
2023-02-08,593.599976,603.200012,591.000000,591.000000,591.000000,1778377
2023-02-09,592.799988,596.880981,588.976013,589.000000,589.000000,2495163
2023-02-10,586.799988,588.799988,577.200012,582.400024,582.400024,3128788
2023-02-13,580.400024,584.599976,578.398987,584.599976,584.599976,3477909
2023-02-14,586.000000,589.799988,579.400024,582.000000,582.000000,1931230
2023-02-15,585.400024,592.400024,583.200012,591.200012,591.200012,1468027
2023-02-16,594.799988,596.200012,584.599976,590.000000,590.000000,871350
2023-02-17,579.599976,583.799988,573.200012,577.400024,577.400024,2608647
