Date,Open,High,Low,Close,Adj Close,Volume
2022-04-25,90.000000,91.519997,86.830002,86.830002,86.830002,64466554
2022-04-26,88.209999,89.010002,84.110001,84.110001,84.110001,49558373
2022-04-27,84.400002,85.790001,82.370003,82.379997,82.379997,52761665
2022-04-28,83.199997,84.889999,82.110001,83.309998,83.309998,41356160
2022-04-29,85.000000,86.190002,82.349998,83.290001,83.290001,35423960
2022-05-03,82.989998,84.599998,82.235001,84.199997,84.199997,41494535
2022-05-04,85.400002,85.419998,83.220001,83.220001,83.220001,33702964
2022-05-05,85.239998,86.220001,81.690002,81.739998,81.739998,27009954
2022-05-06,81.500000,82.000000,78.440002,80.309998,80.309998,49341713
2022-05-09,80.199997,80.709999,78.500000,78.500000,78.500000,34503598
2022-05-10,79.760002,80.699997,78.139999,78.250000,78.250000,38987295
2022-05-11,78.910004,81.879997,77.864998,80.500000,80.500000,50353999
2022-05-12,79.629997,83.269997,78.309998,81.379997,81.379997,40624080
2022-05-13,82.000000,84.769997,81.239998,83.849998,83.849998,34762041
2022-05-16,84.000000,84.250000,80.669998,80.680000,80.680000,39566306
2022-05-17,81.209999,81.550003,78.910004,81.209999,81.209999,45440378
2022-05-18,81.650002,86.129997,81.220001,84.779999,84.779999,43140638
2022-05-19,83.220001,83.650002,80.392998,83.029999,83.029999,39627716
2022-05-20,83.370003,85.110001,82.389999,83.309998,83.309998,42166916
2022-05-23,84.660004,84.833000,82.040001,83.139999,83.139999,24904995
2022-05-24,82.209999,82.319000,80.019997,80.080002,80.080002,43225959
2022-05-25,81.000000,83.519997,80.180000,83.519997,83.519997,28545423
2022-05-26,83.900002,86.489998,83.269997,86.440002,86.440002,26385718
2022-05-27,86.029999,87.500000,85.192001,86.910004,86.910004,20696735
2022-05-30,88.430000,89.989998,87.040001,88.989998,88.989998,36551544
2022-05-31,88.400002,89.598000,86.139999,86.690002,86.690002,52757469
2022-06-01,87.919998,89.779999,87.309998,88.730003,88.730003,24408913
2022-06-06,90.000000,93.809998,89.029999,92.919998,92.919998,43645348
2022-06-07,91.500000,93.269997,91.379997,91.860001,91.860001,26031036
2022-06-08,92.220001,94.220001,92.220001,92.389999,92.389999,28060336
2022-06-09,91.959999,93.407997,90.529999,91.690002,91.690002,37795402
2022-06-10,90.639999,90.855003,87.989998,87.989998,87.989998,31027021
2022-06-13,87.559998,89.889999,85.709999,86.169998,86.169998,42629567
2022-06-14,87.570000,89.669998,85.769997,87.919998,87.919998,25494755
2022-06-15,87.709999,91.699997,87.709999,90.690002,90.690002,34660240
2022-06-16,90.110001,90.500000,86.540001,87.089996,87.089996,35142748
2022-06-17,87.110001,90.430000,84.529999,87.709999,87.709999,40797109
2022-06-20,88.459999,91.870003,87.400002,91.500000,91.500000,80120436
2022-06-21,92.360001,93.000000,90.830002,90.830002,90.830002,18973838
2022-06-22,89.720001,89.720001,84.570000,86.110001,86.110001,43418663
2022-06-23,86.000000,86.029999,81.849998,81.849998,81.849998,42480289
2022-06-24,82.169998,82.682999,79.080002,80.940002,80.940002,46659037
2022-06-27,81.290001,84.199997,81.000000,81.809998,81.809998,48517384
2022-06-28,83.000000,89.099998,82.716003,87.139999,87.139999,39811343
2022-06-29,85.919998,86.519997,84.019997,84.199997,84.199997,26970098
2022-06-30,82.830002,83.980003,81.769997,82.949997,82.949997,33259962
2022-07-01,82.639999,87.660004,81.760002,86.080002,86.080002,31136406
2022-07-04,86.480003,88.529999,85.949997,86.540001,86.540001,15921348
2022-07-05,88.000000,88.000000,79.120003,79.120003,79.120003,61267269
2022-07-06,79.300003,82.930000,79.300003,82.120003,82.120003,30748018
2022-07-07,82.330002,85.720001,82.330002,85.260002,85.260002,29744911
2022-07-08,86.220001,87.519997,85.080002,87.129997,87.129997,24038787
2022-07-11,85.500000,87.550003,83.975998,86.739998,86.739998,20691723
2022-07-12,85.129997,88.779999,85.129997,88.779999,88.779999,19665814
2022-07-13,88.650002,90.199997,87.139999,88.580002,88.580002,33150428
2022-07-14,88.510002,89.580002,85.120003,85.320000,85.320000,34455578
2022-07-15,85.480003,90.489998,84.849998,89.790001,89.790001,30074722
2022-07-18,88.410004,92.769997,88.410004,92.190002,92.190002,26995727
2022-07-19,91.379997,94.415001,90.269997,93.849998,93.849998,19068452
2022-07-20,94.800003,94.800003,91.560997,92.029999,92.029999,28348429
2022-07-21,93.029999,94.099998,91.400002,92.349998,92.349998,19689475
2022-07-22,92.180000,94.169998,91.400002,92.599998,92.599998,16156353
2022-07-25,92.180000,93.089996,90.959999,91.949997,91.949997,17370381
2022-07-26,91.320000,93.639999,87.690002,87.690002,87.690002,66967494
2022-07-27,88.360001,88.809998,87.070000,87.370003,87.370003,23842806
2022-07-28,87.510002,88.360001,84.440002,86.440002,86.440002,25179260
2022-07-29,88.360001,90.899002,88.180000,89.269997,89.269997,33958737
2022-08-01,89.570000,90.769997,88.839996,89.040001,89.040001,18794362
2022-08-02,88.160004,89.730003,87.797997,87.800003,87.800003,20959531
2022-08-03,88.339996,91.389999,88.279999,90.790001,90.790001,25596608
2022-08-04,88.000000,88.959999,79.800003,82.650002,82.650002,144463069
2022-08-05,82.650002,84.250000,81.740997,83.000000,83.000000,40662330
2022-08-08,83.150002,87.066002,82.959999,86.699997,86.699997,44093941
2022-08-09,86.339996,87.081001,84.139999,84.660004,84.660004,36623475
2022-08-10,84.160004,86.139999,83.510002,85.550003,85.550003,30052956
2022-08-11,85.959999,86.678001,84.489998,84.760002,84.760002,24490308
2022-08-12,84.970001,85.889999,84.205002,85.010002,85.010002,16914596
2022-08-15,85.570000,85.889999,84.720001,85.750000,85.750000,14193662
2022-08-16,85.730003,87.660004,85.540001,85.900002,85.900002,21331204
2022-08-17,86.000000,86.190002,82.720001,83.500000,83.500000,37278354
2022-08-18,83.760002,84.528999,83.165001,83.599998,83.599998,13854755
2022-08-19,83.010002,83.779999,81.080002,81.260002,81.260002,28233237
2022-08-22,81.480003,82.000000,79.900002,80.400002,80.400002,31905693
2022-08-23,80.040001,81.389999,79.500000,80.129997,80.129997,20046919
2022-08-24,80.000000,80.309998,78.730003,80.309998,80.309998,23059116
2022-08-25,80.220001,81.769997,79.860001,80.529999,80.529999,13438657
2022-08-26,81.199997,81.279999,78.480003,78.480003,78.480003,22534383
2022-08-30,78.550003,80.099998,77.370003,78.199997,78.199997,25551161
2022-08-31,78.550003,78.550003,76.300003,77.000000,77.000000,63097922
2022-09-01,75.750000,75.990997,69.570000,71.309998,71.309998,84867051
2022-09-02,72.650002,75.227997,71.879997,75.070000,75.070000,57327072
2022-09-05,73.980003,74.169998,72.214996,74.120003,74.120003,32556896
2022-09-06,74.660004,78.699997,74.000000,76.709999,76.709999,81963049
2022-09-07,76.360001,78.300003,75.389999,76.750000,76.750000,19141206
2022-09-08,77.199997,79.209999,76.750000,78.279999,78.279999,57178428
2022-09-09,79.000000,79.737000,78.440002,78.440002,78.440002,22276476
2022-09-12,79.999001,81.261002,79.887001,80.669998,80.669998,21115383
2022-09-13,81.169998,81.169998,78.180000,78.269997,78.269997,22057890
2022-09-14,77.980003,78.629997,74.155998,75.160004,75.160004,39445815
2022-09-15,76.660004,79.750000,76.059998,76.860001,76.860001,36468556
2022-09-16,75.860001,77.239998,74.839996,75.769997,75.769997,41252838
2022-09-20,76.000000,77.739998,75.410004,75.820000,75.820000,23451695
2022-09-21,74.500000,76.400002,73.739998,74.320000,74.320000,18404871
2022-09-22,73.000000,74.599998,72.086998,73.269997,73.269997,29995767
2022-09-23,73.339996,75.278999,70.470001,71.879997,71.879997,58175663
2022-09-26,71.040001,74.610001,71.000000,72.669998,72.669998,48993701
2022-09-27,72.660004,72.970001,69.230003,69.230003,69.230003,37680831
2022-09-28,68.139999,68.470001,64.440002,66.699997,66.699997,67051802
2022-09-29,67.410004,68.430000,65.779999,68.260002,68.260002,39354655
2022-09-30,69.000000,71.050003,68.389999,69.589996,69.589996,45994337
2022-10-03,70.000000,70.244003,66.440002,69.769997,69.769997,33872252
2022-10-04,70.400002,74.489998,70.209999,74.470001,74.470001,39848712
2022-10-05,73.739998,75.370003,73.120003,73.919998,73.919998,21912231
2022-10-06,74.430000,75.230003,70.750000,71.290001,71.290001,24574838
2022-10-07,70.809998,72.120003,69.879997,70.599998,70.599998,25910572
2022-10-10,69.809998,70.940002,68.343002,68.889999,68.889999,29299659
2022-10-11,68.470001,71.410004,68.080002,69.489998,69.489998,19504878
2022-10-12,69.199997,69.800003,66.070000,66.239998,66.239998,29096937
2022-10-13,65.709999,70.860001,65.209999,70.010002,70.010002,30441954
2022-10-14,71.330002,72.010002,69.500000,70.050003,70.050003,32096074
2022-10-17,71.050003,71.699997,70.089996,71.570000,71.570000,21642439
2022-10-18,73.120003,74.889999,71.610001,74.279999,74.279999,83013326
2022-10-19,74.889999,75.660004,72.599998,74.000000,74.000000,23620912
2022-10-20,74.000000,74.075996,72.110001,73.150002,73.150002,18380472
2022-10-21,72.110001,73.720001,70.889999,73.580002,73.580002,22192578
2022-10-24,74.129997,75.940002,73.070000,73.500000,73.500000,24265301
2022-10-25,74.660004,74.660004,72.410004,73.690002,73.690002,19458112
2022-10-26,72.720001,75.040001,72.529999,74.470001,74.470001,23578158
2022-10-27,74.839996,76.699997,73.860001,76.339996,76.339996,22582582
2022-10-28,75.320000,77.570000,74.772003,76.989998,76.989998,24188150
2022-10-31,77.110001,79.422997,77.000000,78.150002,78.150002,38761593
2022-11-01,79.190002,82.419998,79.050003,81.500000,81.500000,49877453
2022-11-02,81.599998,83.059998,81.139999,83.059998,83.059998,40179066
2022-11-03,80.870003,81.230003,78.220001,80.160004,80.160004,39633812
2022-11-04,80.580002,85.529999,80.350998,85.110001,85.110001,56656910
2022-11-07,84.389999,86.349998,82.863998,86.349998,86.349998,33193308
2022-11-08,85.360001,88.440002,84.235001,88.440002,88.440002,25569962
2022-11-09,87.540001,89.529999,87.019997,88.620003,88.620003,22483065
2022-11-10,87.739998,90.269997,85.959999,85.959999,85.959999,40197644
2022-11-11,87.080002,90.809998,86.879997,89.309998,89.309998,48070466
2022-11-14,89.000000,92.760002,88.970001,91.599998,91.599998,54578240
2022-11-15,91.230003,92.070000,89.300003,91.110001,91.110001,31866959
2022-11-16,91.290001,91.489998,86.879997,87.220001,87.220001,31469186
2022-11-17,87.589996,87.849998,85.889999,86.599998,86.599998,21661069
2022-11-18,86.540001,86.989998,85.099998,85.489998,85.489998,25787471
2022-11-21,85.709999,85.900002,83.410004,84.809998,84.809998,34885891
2022-11-22,85.160004,85.980003,84.029999,85.290001,85.290001,29820311
2022-11-23,85.459999,88.410004,84.800003,88.410004,88.410004,23250404
2022-11-24,88.739998,91.050003,88.070000,91.050003,91.050003,24203944
2022-11-25,90.779999,91.650002,90.480003,90.849998,90.849998,17772475
2022-11-28,90.300003,91.959999,88.525002,88.620003,88.620003,28954263
2022-11-29,88.910004,90.260002,88.375000,89.120003,89.120003,21040596
2022-11-30,90.430000,91.949997,90.000000,90.919998,90.919998,54046920
2022-12-01,91.750000,91.949997,86.250000,86.930000,86.930000,44739800
2022-12-02,87.059998,90.279999,86.580002,90.250000,90.250000,44499719
2022-12-05,90.029999,91.070000,88.470001,90.589996,90.589996,23064037
2022-12-06,91.570000,94.500000,91.220001,93.489998,93.489998,57578670
2022-12-07,93.180000,93.660004,90.220001,90.529999,90.529999,25954512
2022-12-08,90.449997,92.110001,90.160004,91.389999,91.389999,19230019
2022-12-09,92.000000,94.050003,90.820000,94.050003,94.050003,35958470
2022-12-12,93.980003,94.680000,92.349998,92.839996,92.839996,20761429
2022-12-13,93.110001,93.337997,88.818001,90.610001,90.610001,49918653
2022-12-14,90.279999,239.699997,89.510002,90.290001,90.290001,20404346
2022-12-15,89.660004,91.000000,88.830002,89.129997,89.129997,21483052
2022-12-16,89.370003,90.387001,86.529999,87.330002,87.330002,43746405
2022-12-19,87.459999,89.239998,87.000000,88.839996,88.839996,16057958
2022-12-20,87.660004,88.599998,86.449997,88.430000,88.430000,18056475
2022-12-21,89.169998,91.139999,88.400002,91.120003,91.120003,24664422
2022-12-22,91.580002,93.160004,90.610001,91.099998,91.099998,21040560
2022-12-23,91.040001,92.500000,90.860001,91.680000,91.680000,8154051
2022-12-28,92.190002,93.529999,92.160004,92.639999,92.639999,25714119
2022-12-29,91.849998,92.620003,91.019997,92.449997,92.449997,17748918
2022-12-30,91.750000,93.199997,91.260002,93.199997,93.199997,9029749
2023-01-03,94.760002,99.580002,94.599998,98.910004,98.910004,94742596
2023-01-04,97.800003,101.400002,95.750000,101.400002,101.400002,62168667
2023-01-05,101.779999,104.260002,101.360001,102.660004,102.660004,53910901
2023-01-06,103.239998,104.824997,102.760002,102.900002,102.900002,29053439
2023-01-09,103.000000,104.260002,100.919998,103.760002,103.760002,31156128
2023-01-10,103.199997,105.000000,100.480003,101.019997,101.019997,40463064
2023-01-11,101.720001,103.860001,101.400002,102.580002,102.580002,28401212
2023-01-12,103.500000,104.800003,102.660004,104.000000,104.000000,31432133
2023-01-13,104.300003,109.559998,104.180000,108.760002,108.760002,54578013
2023-01-16,108.480003,108.660004,106.360001,107.160004,107.160004,57832776
2023-01-17,107.300003,109.040001,107.220001,108.540001,108.540001,61277631
2023-01-18,108.959999,109.459999,107.879997,108.260002,108.260002,47629490
2023-01-19,107.779999,109.379997,104.639999,105.080002,105.080002,44729856
2023-01-20,106.059998,107.410004,104.213997,106.599998,106.599998,26124235
2023-01-23,107.000000,108.199997,105.760002,108.199997,108.199997,35895182
2023-01-24,109.720001,112.080002,108.559998,111.400002,111.400002,65665163
2023-01-25,111.300003,112.860001,110.905998,111.720001,111.720001,33908026
